host,family,record,status,mode,streams,seed,batch,cpu,unit,n,mean,stddev,median,q1,q3,p05,p95,outliers,flags,raw_sha256
sunbird,comparison,machines/sunbird/independent-load-v1/comparison/98fe8851d5b49f3b/attempt-1788928729682121902/run.json,passed,chase,1,5924101,4096,5,TSC_ticks/load,1000000,4.028880780273438,0.37886296031148814,4.0185546875,4.017578125,4.0185546875,4.017578125,4.0185546875,17388,,7d331bd2a31cb7bccbaa48a243b0849354daa63b55791b26ce16349cbcc87761
sunbird,comparison,machines/sunbird/independent-load-v1/comparison/9b7c125a29a51b90/attempt-1788928767254531165/run.json,passed,chase,4,5924102,4096,5,TSC_ticks/load,1000000,1.023335443359375,0.06335262542418928,1.0205078125,1.0205078125,1.021484375,1.0205078125,1.021484375,2784,,df7c71de38dc26dff798990b14b50516025d2a29d19cd8c40534abe4994c63f6
sunbird,comparison,machines/sunbird/independent-load-v1/comparison/a9ad2e39352d03a8/attempt-1788928812893699507/run.json,passed,chase,4,5924103,4096,7,TSC_ticks/load,1000000,1.023356033203125,0.06096675351602624,1.0205078125,1.0205078125,1.021484375,1.0205078125,1.021484375,5030,,9923b4c662c1fbc3d4ba57defaebdf2e6a25af74f613df40d58c0777adff4689
sunbird,comparison,machines/sunbird/independent-load-v1/comparison/ac51a66fec63c2e3/attempt-1788928739284731199/run.json,passed,chase,4,5924101,4096,5,TSC_ticks/load,1000000,1.0234634150390625,0.066286261514072,1.0205078125,1.0205078125,1.021484375,1.0205078125,1.021484375,5422,,65ca76f1bf6c0b45d269626a8d7ea10d163bb5729c9cd184f3a53ce637f18b32
sunbird,comparison,machines/sunbird/independent-load-v1/comparison/aef35aa059820215/attempt-1788928771552456058/run.json,passed,chase,4,5924102,4096,5,TSC_ticks/load,1000000,1.0236092744140626,0.06374263454402809,1.021484375,1.0205078125,1.021484375,1.0205078125,1.021484375,5587,,9d06c85a630bdae37166f8a961c02cd1de2ff70677e22e5beecc3055e102087b
sunbird,comparison,machines/sunbird/independent-load-v1/comparison/b8271f9eb2c0e80a/attempt-1788928775890672213/run.json,passed,chase,1,5924102,4096,5,TSC_ticks/load,1000000,4.0279755625,0.12466288258773467,4.0185546875,4.017578125,4.0185546875,4.017578125,4.0185546875,14182,,fb733849d9dd0db699cdbcbd3bedec1133bba2d549e227342b7887f8985f2329
sunbird,smoke,machines/sunbird/independent-load-v1/smoke/39f614551be5e15f/attempt-1788928652272498698/run.json,passed,chase,1,5924101,4096,3,TSC_ticks/load,2048,4.030452728271484,0.1310108549332025,4.0185546875,4.0185546875,4.01953125,4.0185546875,4.01953125,57,,203120e7cc326bca2c33f89b363d65d484363da406273a2a1861335e885d704f
sunbird,smoke,machines/sunbird/independent-load-v1/smoke/6473570af8cb0465/attempt-1788928654469456961/run.json,passed,chase,4,5924101,4096,3,TSC_ticks/load,2048,1.0243191719055176,0.05761473200656688,1.021484375,1.0205078125,1.021484375,1.0205078125,1.021484375,66,,9c6555e494ae00684970bdd9ef5d9ac38b9c5200038fd337b45fcc073c96afc2
sunbird,smoke,machines/sunbird/independent-load-v1/smoke/b72263ef8b47f50f/attempt-1788928656618555079/run.json,passed,overhead,1,5924101,4096,3,TSC_ticks/interval,2048,84.4453125,15.956123813505886,84.0,84.0,84.0,84.0,84.0,27,,1050761c919723b8dc52c12ade747dc897feeac2e5fce4e270e4cfa5e1089e6b
sunbird,smoke,machines/sunbird/independent-load-v1/smoke/c13b49eaf75b5c13/attempt-1788928658766710132/run.json,passed,loop,1,5924101,4096,3,TSC_ticks/load,2048,0.27722835540771484,0.003934142759734406,0.27734375,0.27734375,0.27734375,0.2763671875,0.27734375,484,,9fa288611cce1db3f951111cc4ff8eacafda66fe68c7d95aa441a8d0d0312a1a
thunderbird,calibration,machines/thunderbird/independent-load-v1/calibration/037f0b274cdbd2e9/attempt-1788928724612079407/run.json,noisy,chase,4,5924101,4096,0,CNTVCT_ticks/load,1000000,0.008635346923828125,0.0016406432391332328,0.008544921875,0.008544921875,0.0087890625,0.008544921875,0.0087890625,172,frequent involuntary context switches,3a2475b22b0322da3490a1ad72d5b2fe49d7bd3087ef3031d4f29651572c191e
thunderbird,calibration,machines/thunderbird/independent-load-v1/calibration/39674ad348edf8a9/attempt-1788928732013457139/run.json,passed,loop,1,5924101,4096,1,CNTVCT_ticks/load,1000000,0.0023941640625,0.0005331728844251436,0.00244140625,0.00244140625,0.00244140625,0.002197265625,0.00244140625,199573,,353ddd43d120e822871890996220efceca05231f47e5ec29f5755f27a1721137
thunderbird,calibration,machines/thunderbird/independent-load-v1/calibration/44b6019a19a40346/attempt-1788928712169020864/run.json,passed,loop,1,5924101,4096,3,CNTVCT_ticks/load,1000000,0.00239378466796875,0.0004590134574269365,0.00244140625,0.00244140625,0.00244140625,0.002197265625,0.00244140625,199849,,797f31beaebdec9c281b6b8bc3f9b5cd25a11a410eb8b10527ff57ada3329dc5
thunderbird,calibration,machines/thunderbird/independent-load-v1/calibration/511efc2dfa06b8df/attempt-1788928715683864761/run.json,noisy,chase,1,5924101,4096,3,CNTVCT_ticks/load,1000000,0.0336159375,0.001173149786667332,0.03369140625,0.033447265625,0.03369140625,0.033447265625,0.03369140625,581,frequent involuntary context switches,9dfa9b5803fbeb8d4b6fcc7f3419f8c52576d90ae8db7b69915692b241582603
thunderbird,calibration,machines/thunderbird/independent-load-v1/calibration/6c74514be0b24c3f/attempt-1788928735447930144/run.json,passed,chase,1,5924101,4096,1,CNTVCT_ticks/load,1000000,0.03361991186523437,0.001369386889931837,0.03369140625,0.033447265625,0.03369140625,0.033447265625,0.03369140625,582,,18c27f3b464b4a274b3102f694c55ef08badff2fb0b9a157c95c8066c3f7bbca
