host,group,mode,size_kib,unit,median_change_percent,percentile_bands_overlap,coarse_mean,refinement_mean,coarse_median,refinement_median,coarse_stddev,refinement_stddev,coarse_q1,refinement_q1,coarse_q3,refinement_q3,coarse_p5,refinement_p5,coarse_p95,refinement_p95,coarse_outliers,refinement_outliers,coarse_zeros,refinement_zeros
skylark,large,random,32768.0,TSC ticks/access,-0.02960660227230294,True,158.8807197480469,158.810110078125,158.326171875,158.279296875,5.835711656600556,5.9130813772495,156.603515625,156.580078125,160.4765625,160.359375,154.400390625,154.3828125,164.94140625,164.77734375,25335,25711,0,0
skylark,large,random,65536.0,TSC ticks/access,0.0753883848038539,True,217.80030840820314,217.96282109765625,217.623046875,217.787109375,6.158850780908914,6.120999093531329,216.275390625,216.41015625,219.01171875,219.2109375,214.388671875,214.494140625,221.16796875,221.396484375,11458,10598,0,0
skylark,large,sequential,8192.0,TSC ticks/access,0.0,True,2.95872594140625,2.94497025,2.9296875,2.9296875,0.4082613785783994,0.8690608363929136,2.923828125,2.923828125,2.9296875,2.9296875,2.923828125,2.923828125,2.94140625,2.94140625,104564,81090,0,0
skylark,large,sequential,16384.0,TSC ticks/access,0.0,True,2.96815255078125,2.95395385546875,2.9296875,2.9296875,0.4340366392341404,0.8864058663063834,2.923828125,2.923828125,2.9296875,2.9296875,2.923828125,2.923828125,3.064453125,3.041015625,188004,165986,0,0
skylark,large,sequential,32768.0,TSC ticks/access,0.0,True,3.057133166015625,3.039835482421875,3.064453125,3.064453125,0.9016444866128372,0.8894236061585072,2.9296875,2.9296875,3.0703125,3.0703125,2.923828125,2.923828125,3.146484375,3.099609375,40144,15716,0,0
skylark,large,sequential,65536.0,TSC ticks/access,0.0,True,3.040779046875,3.043835865234375,3.064453125,3.064453125,0.8878463917275977,0.8952917380121185,2.9296875,2.9296875,3.0703125,3.0703125,2.923828125,2.923828125,3.099609375,3.099609375,17066,20387,0,0
artemisia,small,random,16.0,TSC ticks/access,0.009712509712511697,True,5.04312261328125,5.045854053222656,5.02734375,5.02783203125,1.2740754171909712,0.2556310523907058,5.02197265625,5.02197265625,5.033203125,5.033203125,5.0185546875,5.01904296875,5.0361328125,5.03662109375,11211,18121,0,0
artemisia,small,random,32.0,TSC ticks/access,0.0,True,5.068309682617188,5.054011070800781,5.0283203125,5.0283203125,1.2952127249824779,5.414974576283201,5.0224609375,5.0224609375,5.0341796875,5.03369140625,5.01904296875,5.01904296875,5.041015625,5.03759765625,47046,15723,0,0
artemisia,small,random,64.0,TSC ticks/access,-0.011886366337809928,True,8.29718389892578,8.254632390625,8.2158203125,8.21484375,2.2127848074089895,1.228605719590879,8.1884765625,8.18896484375,8.2451171875,8.2421875,8.14794921875,8.1513671875,8.33349609375,8.2919921875,54264,32221,0,0
artemisia,small,random,128.0,TSC ticks/access,0.0437689002068975,True,12.331477526855469,12.335191791503906,12.271484375,12.27685546875,1.8321420141451876,1.4501015857495596,12.25634765625,12.26611328125,12.33203125,12.32275390625,12.23828125,12.2412109375,12.35009765625,12.34130859375,28594,36293,0,0
artemisia,small,sequential,16.0,TSC ticks/access,0.009712509712511697,True,5.046416123046875,5.047449572753906,5.02734375,5.02783203125,1.6768562123594142,1.383471575520854,5.02197265625,5.02197265625,5.033203125,5.033203125,5.0185546875,5.01904296875,5.0361328125,5.03662109375,11675,13852,0,0
artemisia,small,sequential,32.0,TSC ticks/access,0.00971156647566751,True,5.0616722114257815,5.090184739257812,5.02783203125,5.0283203125,1.4945500363682025,1.1298688401581152,5.02197265625,5.0224609375,5.03369140625,5.0341796875,5.01904296875,5.01904296875,5.0380859375,5.373046875,38729,67925,0,0
artemisia,small,sequential,64.0,TSC ticks/access,0.0383053704129388,True,6.402903748046875,6.400168083007813,6.37353515625,6.3759765625,5.598237735460193,1.0933475353338227,6.36669921875,6.369140625,6.37939453125,6.3818359375,6.3623046875,6.36474609375,6.38525390625,6.38720703125,25159,16628,0,0
artemisia,small,sequential,128.0,TSC ticks/access,0.0076475986540147645,True,6.406676715332031,6.413695970703125,6.384765625,6.38525390625,1.288930423872243,2.6207129566583296,6.37841796875,6.37841796875,6.39111328125,6.3916015625,6.37451171875,6.37451171875,6.39501953125,6.3955078125,14732,25142,0,0
artemisia,middle,random,512.0,TSC ticks/access,-0.008679048776250031,True,16.985034536621093,17.012499556640623,16.8779296875,16.87646484375,2.276857713890513,6.206547645593198,16.8544921875,16.849609375,16.9365234375,16.9365234375,16.83935546875,16.83642578125,17.7265625,17.75830078125,80561,72047,0,0
artemisia,middle,random,1024.0,TSC ticks/access,-0.02438251286177584,True,20.1649012109375,20.114907391601562,20.02587890625,20.02099609375,3.246771566081313,6.099205095778357,19.990234375,19.9873046875,20.07421875,20.0625,19.91748046875,19.9169921875,20.92578125,20.34765625,92867,76735,0,0
artemisia,middle,random,2048.0,TSC ticks/access,64.89095351573104,False,17.073876951660157,27.049429119140626,16.18701171875,26.69091796875,1.6580063307517867,3.559667015995431,16.04150390625,26.48583984375,17.806640625,27.04833984375,15.9365234375,26.17626953125,20.2880859375,29.04052734375,43232,131445,0,0
artemisia,middle,random,4096.0,TSC ticks/access,8.024166381338427,False,44.475109797851566,48.100143,44.20849609375,47.755859375,4.9053579345536,3.164758297617131,43.89990234375,47.43408203125,44.65625,48.28662109375,43.517578125,47.03515625,46.06005859375,49.9921875,69426,78643,0,0
artemisia,middle,sequential,512.0,TSC ticks/access,-0.015243902439021628,True,6.438494187988281,6.428279188964844,6.40625,6.4052734375,1.5948490170059852,0.6102666830245509,6.39892578125,6.3984375,6.41259765625,6.41162109375,6.3955078125,6.39501953125,6.517578125,6.4150390625,64940,15462,0,0
